created_at,text,username,screen_name,verified,followers_count
Tue Oct 19 23:02:41 +0000 2021,A one year extension of the CTC. Yikes.,Nick Shields 🌐,n_shields_12,False,635
Tue Oct 19 23:02:41 +0000 2021,I hate it here https://t.co/9NsKX3IsYy,@nay ◈ weird era,Choco_Naynay,False,52
Tue Oct 19 23:02:41 +0000 2021,i think the elimination is unnecessary. they should've let all teams joining the show from the 1st episode till the end. it's hard to see such good groups to leave the show just bcs they got low views/likes or any other stupid factors :(  #StreetWomanFighter,soff ツ,hyunsoffiee,False,67
Tue Oct 19 23:02:41 +0000 2021,"#ICYMI I joined CNN Newsroom with this simple message, Republicans and conservatives care deeply about this planet and about this earth. Watch my discussion with @jimsciutto: https://t.co/YMA14vYS6v https://t.co/umueOf1Spe",mwy,wreddpepper,False,4466
Tue Oct 19 23:02:41 +0000 2021,For people complaining about this not being kid friendly.... idk if y'all noticed but Bratz aren't even in a lot of toy sections of stores like they use to be as if kids these days don't really pay mind to them. Bratz is most definitely for the generations who grew up with them,Spooky Cherry🎃🍒✨,thecherrybonbon,False,3169
Tue Oct 19 23:02:41 +0000 2021,I know you do  https://t.co/LxPcZabZxG,Sarah Lee,Sarahxleex28,False,667
Tue Oct 19 23:02:41 +0000 2021,"This is my son Andrew, today he was riding his bike in the 78239 zip code by Windcrest. If you see him he's wearing a green shirt with a long sleeve shirt under and and blue jeans. His bike is black, he has glasses.he's 12 y/o. Please retweet and contact me or the police w info https://t.co/zWkwgk4W67",💓BarbieDoll💓,Therealfryy,False,9647
Tue Oct 19 23:02:41 +0000 2021,"The fact that China launched a hypersonic nuclear platform, and that our intelligence agencies were caught unaware, should shock the world.",Patriot2020,Patriot202015,False,1466
Tue Oct 19 23:02:41 +0000 2021,you were honest. she made a decision based on that honesty. congrats on being an adult.,Miyah,TheRealBaeAf,False,295
Tue Oct 19 23:02:41 +0000 2021,Georgie coded a gas free naming mechanism that's instant and can be used to rename an alien from the secondary market... that's goat level shit. Tired of this project being taken for granted @TheAlienBoyNFT has already made history,LifeCrazyFr.eth 👽🐼,L1feCrazyFr,False,954
Tue Oct 19 23:02:41 +0000 2021,I'm a #Massage Therapist &amp; Writer. I work on my books and try not to rub anybody the wrong way!#Houston Galveston 26 Years Of MassageHave Table Will Travelhttps://t.co/LDrubMf8sQ,Literature Posts,literatureposts,False,20672
Tue Oct 19 23:02:41 +0000 2021,i cant do this anymore i'm exhausted,ads 🎃,dreamsplushie,False,668
Tue Oct 19 23:02:41 +0000 2021,@papitachiquita Ofc ofc I'll support all your aspirations,Josh Lester 🇺🇸🇺🇸🇺🇸,LingTolls,False,571
Tue Oct 19 23:02:41 +0000 2021,really hate how songs are getting shorter and shorter. i get why artistes have to make them that way but :(,🌷Liah🌷,JugsMama,False,151
Tue Oct 19 23:02:41 +0000 2021,@sensualwalrus @geeboss Yeah there's a lot of people who don't know so I try and give benefit of the doubt,David,notbaddavid,False,905
Tue Oct 19 23:02:41 +0000 2021,"Byleth with an entry level understanding of what a school is, who googled ""classroom activities"" 5 minutes before class: um let's have show and tell felix pulling out a sword: i'll go first dorothea: *just transferred* What is wrong with him. ingrid: I know. Lances are better.",👾dev👾,mrsdeathknight,False,215
Tue Oct 19 23:02:41 +0000 2021,i know he hurt  https://t.co/R4m0JkS46U,Alan Cristiano,Cr7Alanr,False,660
Tue Oct 19 23:02:41 +0000 2021,Paying tribute to the previous generation before his first game as a Laker  https://t.co/GTgMyXy6kD,"💉DFBR: 13,175-4,924-446",KingFitch_H19,False,3001
