created_at,text,username,screen_name,verified,followers_count
Tue Oct 05 18:40:34 +0000 2021,@TaylorandPayne @rachel_sg I have recovered but not fully. I’m only operating at about 110%,Gilles,GillesOffTheWeb,False,5734
Tue Oct 05 18:40:34 +0000 2021,"@Coach_JFord Jordan Anderson
Basha High School (Chandler AZ)
C/o 2022
ATH/DB/Saf/WR
6'0 170 LBS
3.375 GPA

https://t.co/x7XDfiDjoE",Jordan Anderson,JordanAnd22,False,323
Tue Oct 05 18:40:34 +0000 2021,"@MacFarlaneNews Well, you can’t blame people who don’t want to get their hair done by a terrorist. I don’t. Put you… https://t.co/oohRi4sc0k",Barb Landa,BJLRN,False,3146
Tue Oct 05 18:40:34 +0000 2021,"Maybe the time is near, I speak on things long before they happen but you don’t wanna listen to me you think I’m ju… https://t.co/qAhmeEMBh9",Preach,JustCallEmSir,False,487
Tue Oct 05 18:40:34 +0000 2021,@AquaLilyPatT @LovelyLadyLe Okay I'm not greedy 😂,Mr.Proper_LyTe_skinned_chAmp,LyteSkinedChamp,False,2394
Tue Oct 05 18:40:34 +0000 2021,if its me i will be okay,ً,s55bin,False,6
Tue Oct 05 18:40:34 +0000 2021,I peep everything so keep them funny ass slick comments to self cus I’m very confrontational,🥇,beatdaodds_,False,973
Tue Oct 05 18:40:34 +0000 2021,am i just difficult to love?,ꕥ111ꕥ,cleo1uvbug,False,567
Tue Oct 05 18:40:34 +0000 2021,@snboxing I still love the movie,Albert Perez/ El Sabio,1AlbertPerez,False,572
Tue Oct 05 18:40:34 +0000 2021,@NFLOfficiating this is what @jbbigbear is talking about. Do a better job. You’re literally on the Field and it’s h… https://t.co/CD5x7PuRik,Nate Flint,Nate_Flint,False,355
Tue Oct 05 18:40:34 +0000 2021,RT @OccupyDemocrats: BREAKING: Man who hunted down and killed Black jogger Ahmaud Arbery demands that the judge block the jury from seeing…,Shropshire 🇺🇸 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Shropsh17793278,False,227
Tue Oct 05 18:40:34 +0000 2021,@legendarylizzy @JustSofi_YT I know I’m late but here’s my sweetie ❤️💯 https://t.co/4sL9KkfHOS,Joкёя,KhaoticPlayz,False,259
Tue Oct 05 18:40:34 +0000 2021,RT @OshawottKing23: @TheFunny_mp4 Me eating the Scrumptious steak after i win 46 billion dollars in Squid Game https://t.co/Scr5VBMQ5D,MitaK,MitaKxD,False,73
Tue Oct 05 18:40:34 +0000 2021,RT @seokjinnieselca: AND IF SEOKJIN SINGS IN A LOWER REGISTER IN HIS OST 😭😭😭,moon chamber,seokjinchamber,False,139
Tue Oct 05 18:40:34 +0000 2021,@KennyKing_Jr I'd take anyone at this point.  I'll suit up with my fat ass and bad back and at least not cost us fa… https://t.co/IQMsQotsIC,Melmacaveli,Melmacaveli,False,77
Tue Oct 05 18:40:34 +0000 2021,RT @03B00GZ: i’m so sexy in scrubs 🙄,virg0,erbodylovemyzja,False,927
Tue Oct 05 18:40:34 +0000 2021,"RT @ClaudiaWebbe: 37% of global tax losses are enabled by a network of British overseas Tax Havens where current and former world leaders,…","💙 Help the #NHS wear a mask, get jabbed",Luckylilybee,False,2941
Tue Oct 05 18:40:34 +0000 2021,I CANT HANDLE THIS RN,mo🤩,idkmld,False,266
Tue Oct 05 18:40:34 +0000 2021,"RT @LemonGenshin: ⚡️‼️JOINT VA GIVEAWAY‼️⚡️

Me and the wonderful @KayliMills, the English VA for Keqing, have teamed up to bring you all s…",lexi,asmodeuslut,False,771
Tue Oct 05 18:40:34 +0000 2021,@RB_07FtboI I’m saying Gomez at right back is not my jam ffs,matip & salah stan acc,kloppbalI,False,857
Tue Oct 05 18:40:34 +0000 2021,"RT @BernieSanders: I get a little tired of Republicans telling me and telling you that we ""can't afford it"" when we talk about investing in…",Armen,mtnmama12753,False,220
Tue Oct 05 18:40:34 +0000 2021,RT @SaltoSalts: Hey guys I conveniently have a new sona now https://t.co/CA7AujS0iG,Evil-Type Noerbmu,noerbmu,False,4714
Tue Oct 05 18:40:34 +0000 2021,@ulupicaxxx @BabesPornCum Fuck! You have try all of them one at a time!,J Vein,JVein7,False,57
Tue Oct 05 18:40:34 +0000 2021,RT @WickedBoneClub: And only 337 (3.37%) are listed under 1 ETH! 👀 New and existing members have been loading up during this consolidation…,CryptoVaultBandit,C_V_Bandit,False,293
Tue Oct 05 18:40:34 +0000 2021,"RT @emily_thorne_: Hi , my dear! I'm online https://t.co/RiCwr6UudI 
Сome to my room, let's have a fun time 😘i will wait u!

I also have On…",GOKU L MCKNIGHT,McknightGoku,False,51
Tue Oct 05 18:40:34 +0000 2021,"RT @tsunderebean_: Hello user! As our customer, I am here to guarantee your satisfaction. 
#Sam #SamsungSam https://t.co/DiQR1qgWlw",Women's feet are everything,JulienTaremi,False,39
Tue Oct 05 18:40:34 +0000 2021,god i used to think this dog was adorable but now i cant unsee how human his eyes looks it has the darkest most biz… https://t.co/2HO2mnWJnT,who is SOOBIN 🤨,boxianmvs,False,155
Tue Oct 05 18:40:34 +0000 2021,@ShaunZeppelin @Brexit_Refugee @GaryLineker Do you have dementia or something? Price cap. Remember? That is why con… https://t.co/gBt5U0AjCi,DT Braven,dtbraven,False,363
Tue Oct 05 18:40:34 +0000 2021,undercover british bc the FUCK is a pop and crisp ☹️☹️,alex 👻 🎃,hobiDNI,False,1090
Tue Oct 05 18:40:34 +0000 2021,RT @Charlie533080: Reassuring to see my last ‘boss’ Sir Simon Gass @FCDOGovUK leading UK discussions with Taliban on a range of issues incl…,ProudGranny24,ProudGranny24,False,2812
Tue Oct 05 18:40:34 +0000 2021,RT @trixievenus777: wwyd if i look at you like this https://t.co/1IgOP3EZhv,Anna,Aprivate67,False,98589
