created_at,text,username,screen_name,verified,followers_count,TOXICITY,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
created_at,text,username,screen_name,verified,followers_count,0.0425183,0.015739849,0.037331942,0.043029107,0.040425528
Thu Dec 02 15:39:21 +0000 2021,"This needs to become a real thing. I wanna see full use of sprays instead of little children using the ""everything's fine"" spray to call people trash. The only ones who do that are the only ones who are trash, at being a good human being.",GhostFedoraTWEET,GhostyRBLX,False,28,0.5524074,0.6665906,0.3130112,0.43165603,0.10075012
Thu Dec 02 15:39:21 +0000 2021,@ENHYPEN_members love u more jake,aii.laa,jayenaii,False,85,0.08429884,0.061554916,0.109648995,0.06950406,0.119767
Thu Dec 02 15:39:21 +0000 2021,"@ENHYPEN_members i hope you'll get a good rest, fighting tomorrow!",ً,igpshluv,False,2337,0.13862185,0.10389058,0.09795383,0.5062301,0.07504381
Thu Dec 02 15:39:21 +0000 2021,@Mal_DuBois It was dragged across on a dinghy...,Gavlar87,gavlar87,False,149,0.17944044,0.12380582,0.13952447,0.29818717,0.2338715
Thu Dec 02 15:39:21 +0000 2021,"@ENHYPEN_members Congratulations Sunoo!!Godd night, have a nice dream and sleep well",Natalia Vera Berger,333Naty,False,54,0.10155561,0.042392127,0.08948988,0.25375277,0.13845441
Thu Dec 02 15:39:21 +0000 2021,Every since I got a taste of peace ion be wanting to argue with nobody ,DY,dyrinone,False,10646,0.23964916,0.14091189,0.14136788,0.34987968,0.17371413
Thu Dec 02 15:39:21 +0000 2021,"#HappyHumpDay on the first Wednesday of this #5HumpMonth If you've listened to our latest podcast, you know this is a tough one for me. But thank you @NJudah7 for the encouragement. Here's a little peek from Dallas. https://t.co/jC4n1eLQlO",Brandy Wet,Brandywet,False,1653,0.1758185,0.15977542,0.104860276,0.15233193,0.09101157
Thu Dec 02 15:39:21 +0000 2021,"Wishing to evolve as a singer in every possible genre is the determination Chellamma holds to shine more, #Uruttu from #EnnaSollaPogirai is one such vibe genre with her vocals @sivaangi_k @MervinJSolomon @iamviveksiva",Shalini,Shalini55913616,False,0,0.15482613,0.1115439,0.2392658,0.13683553,0.21694273
Thu Dec 02 15:39:21 +0000 2021,I lose followers everyday lmaoo,rit,apocalypiss,False,794,0.18542376,0.10886505,0.12593539,0.18640886,0.08878544
Thu Dec 02 15:39:21 +0000 2021,Hey @RepDLesko and @RepDavid care to explain to you constituents why you voted for this bill? @DebbieLesko,AZ Perspectives,AZPerspectives,False,1621,0.1547494,0.17004107,0.15315914,0.07583311,0.056130245
Thu Dec 02 15:39:20 +0000 2021,It's bad news for whoever I get in Secret Santa x https://t.co/9z9ZHKltWY,Ben Kelly,BenKellyTweets,True,9059,0.09538383,0.07393568,0.048761014,0.09176056,0.07831537
Thu Dec 02 15:39:21 +0000 2021,"LoL instagram update with Miyeon and Soyeon, go leave a like &amp; comments nevieshttps://t.co/PJC7cHkzTd@G_I_DLE #GIDLE #SOYEON #soyeon #MIYEON #miyeon https://t.co/k0mfKyjN3p",Tek⁶,reveIIand,False,642,0.14107287,0.09759427,0.16903067,0.12599137,0.15139346
Thu Dec 02 15:39:21 +0000 2021,It's that time of year where I start looking biracial ,big gooey,dadsbongwater,False,353,0.10364592,0.063099496,0.09596847,0.15891585,0.1315901
Thu Dec 02 15:39:21 +0000 2021,"I lost money and friends this year, I just want the money back",jay✨,BeastAssJayy,False,1679,0.06403127,0.03038804,0.032142803,0.061650705,0.046233956
Thu Dec 02 15:39:21 +0000 2021,We need every mp regardless of party who can see the lack of ethics and democracy in this govt to resign and trigger mass by elections resulting in General Election. If you have a conscience do this today. #TriggerGeneralElection,Abalone589,Pine589,False,197,0.1483321,0.121229574,0.039902944,0.35270327,0.034089852
Thu Dec 02 15:39:21 +0000 2021,The portfolios were unusable in the real world of model and the show did not have the budget for a million dollar photoshoot. The national recognition also hurt their careers bc the Fashion industry didn't respect those models and judged their edits. Stop talking w/o facts,😑,normalgirlvibes,False,460,0.07584852,0.062220395,0.026076805,0.0438487,0.01659911
Thu Dec 02 15:39:21 +0000 2021,"wyatt: your love, your support, it was everything to us.mk: even now, fuse is a friend who will be with me for a long time in my life.u: every single day i spend with the members is so enjoyable and makes me happy. https://t.co/VxgFtd7mdG",hyou,hyouonf2216,False,1,0.1172969,0.06557274,0.07718345,0.20179455,0.18847986
